paper,jel
"w10126","K22"
"w10126","K40"
"w10127","I1"
"w10127","L3"
"w10128","E5"
"w10128","F3"
"w10129","L50"
"w10129","K31"
"w1013","C"
"w1013","E"
"w1013","220"
"w1013","322"
"w10130","E32"
"w10130","N10"
"w10131","G14"
"w10131","G12"
"w10132","G0"
"w10132","E3"
"w10133","L1"
"w10133","L2"
"w10134","J82"
"w10134","J22"
"w10135","E21"
"w10135","G22"
"w10136","H00"
"w10136","O12"
"w10137","C5"
"w10138","H2"
"w10138","J2"
"w10139","H2"
"w10139","J2"
"w1014","J"
"w1014","H"
"w1014","912"
"w1014","800"
"w10140","H2"
"w10140","Q2"
"w10141","G1"
"w10142","L22"
"w10142","J41"
"w10143","F0"
"w10144","F15"
"w10144","F21"
"w10145","F1"
"w10145","F3"
"w10146","F3"
"w10146","F1"
"w10147","Z1"
"w10147","O1"
"w10148","L8"
"w10148","L1"
"w10149","E52"
"w10149","E61"
"w10150","E22"
"w10150","G10"
"w10151","H0"
"w10151","O1"
"w10152","F4"
"w10152","F1"
"w10153","H25"
"w10153","G32"
"w10154","L0"
"w10154","C1"
"w10155","I21"
"w10155","I20"
"w10156","F13"
"w10156","F15"
"w10157","F21"
"w10157","G15"
"w10158","G34"
"w10158","G21"
"w10159","O34"
"w10159","D12"
"w10160","F1"
"w10161","E58"
"w10161","E52"
"w10162","D18"
"w10162","D42"
"w10163","E31"
"w10163","E41"
"w10164","I2"
"w10164","J6"
"w10165","L1"
"w10165","G3"
"w10166","N9"
"w10166","O1"
"w10167","F2"
"w10167","F1"
"w10168","F1"
"w10168","F0"
"w10169","F23"
"w10169","O32"
"w10170","E60"
"w10170","D72"
"w10171","E31"
"w10171","E42"
"w10172","F17"
"w10172","F32"
"w10173","F17"
"w10173","F13"
"w10174","J31"
"w10174","J41"
"w10175","D1"
"w10175","I1"
"w10176","D72"
"w10176","H00"
"w10177","J33"
"w10177","J54"
"w10178","K4"
"w10178","F1"
"w10179","G28"
"w10179","G22"
"w1018","226"
"w1018","C"
"w10180","H56"
"w10180","D74"
"w10181","F1"
"w10182","J14"
"w10182","D91"
"w10183","E31"
"w10184","G31"
"w10184","G20"
"w10185","J2"
"w10186","J22"
"w10186","J16"
"w10187","E0"
"w10188","G31"
"w10188","G15"
"w10189","F23"
"w10189","F12"
"w1019","G"
"w1019","522"
"w10190","G30"
"w10190","G34"
"w10191","J1"
"w10192","M5"
"w10193","F30"
"w10193","F31"
"w10194","C32"
"w10194","E32"
"w10195","F31"
"w10195","E52"
"w10196","E58"
"w10196","E52"
"w10197","O53"
"w10197","C43"
"w10198","F14"
"w10198","L23"
"w10199","I12"
"w10199","J17"
"w1020","H"
"w1020","913"
"w10200","G32"
"w10200","G31"
"w10201","E21"
"w10201","E24"
"w10202","G12"
"w10202","G24"
"w10203","H0"
"w10203","H8"
"w10204","I12"
"w10204","I11"
"w10205","D78"
"w10205","D72"
"w10206","I1"
"w10207","F13"
"w10208","F1"
"w10208","O1"
"w10209","C23"
"w10209","F14"
"w1021","423"
"w1021","F"
"w10210","G12"
"w10210","E21"
"w10211","E21"
"w10211","D8"
"w10212","L1"
"w10212","O3"
"w10213","J0"
"w10213","J4"
"w10214","J1"
"w10215","J63"
"w10215","J41"
"w10216","E2"
"w10216","D9"
"w10217","F4"
"w10217","F3"
"w10218","G12"
"w10218","G14"
"w10219","H3"
"w1022","441"
"w1022","F"
"w1022","442"
"w10220","E3"
"w10220","E4"
"w10221","J33"
"w10221","J31"
"w10222","J33"
"w10222","J31"
"w10223","O3"
"w10223","G2"
"w10224","F3"
"w10224","G3"
"w10225","G3"
"w10225","F3"
"w10226","D1"
"w10226","D8"
"w10227","I3"
"w10227","J13"
"w10227","D8"
"w10228","E2"
"w10228","G1"
"w10229","J3"
"w10229","H4"
"w10230","F4"
